127.0.0.1 - - [17/May/2022:22:50:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/index.jsp HTTP/1.1" 200 8572
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/css/@default.css HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/js/common.js HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/image/coffee_meo.jpg HTTP/1.1" 200 123936
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/image/coffee_regilait.jpg HTTP/1.1" 200 60886
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/image/coffee_perlanera.jpg HTTP/1.1" 200 94423
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/css/layout.css HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/css/base.css HTTP/1.1" 200 12778
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/css/common.css HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/css/main.css HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/css/sub.css HTTP/1.1" 200 11601
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/css/board.css HTTP/1.1" 200 24829
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:50 +0900] "GET /metabucks/HOME/css/slick.min.css HTTP/1.1" 200 63055
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:51 +0900] "GET /metabucks/HOME/image/sub/about_bg1.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:51 +0900] "GET /metabucks/HOME/image/board_img/sel_arr.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:51 +0900] "GET /metabucks/HOME/image/wall.jpg HTTP/1.1" 200 930427
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:51 +0900] "GET /metabucks/HOME/image/CoffeeLogo.png HTTP/1.1" 200 7549
0:0:0:0:0:0:0:1 - - [17/May/2022:22:50:51 +0900] "GET /metabucks/HOME/image/sub/icon_plus.gif HTTP/1.1" 404 861
