0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:04 +0900] "GET /metabucks/METAORDER/img/pay.png HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:04 +0900] "GET /metabucks/METAORDER/img/order.png HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:04 +0900] "GET /metabucks/METAORDER/img/other.png HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:08 +0900] "GET /metabucks/METAORDER/order/index.jsp HTTP/1.1" 200 14663
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:08 +0900] "GET /metabucks/METAORDER/img/home.png HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:08 +0900] "GET /metabucks/METAORDER/img/ordersel.png HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:09 +0900] "GET /metabucks/METAORDER/order/view.jsp?hname=%EC%97%90%EC%8A%A4%ED%94%84%EB%A0%88%EC%86%8C HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:09 +0900] "GET /metabucks/METAORDER/img/back.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:10 +0900] "GET /metabucks/METAORDER/order/orderok.jsp?hname=%EC%97%90%EC%8A%A4%ED%94%84%EB%A0%88%EC%86%8C HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:10 +0900] "GET /metabucks/METAORDER/js/common.js HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:10 +0900] "GET /metabucks/METAORDER/js/cart.js HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:10 +0900] "GET /metabucks/METAORDER/img/size.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:10 +0900] "GET /metabucks/METAORDER/img/unlike.png HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:13 +0900] "POST /metabucks/METAORDER/order/cart.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:14 +0900] "GET /metabucks/METAORDER/other/shopping.jsp HTTP/1.1" 200 27996
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:14 +0900] "GET /metabucks/PROTO/js/cart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/other/index.jsp HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/deposit.png HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/depositcharging.png HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/card.png HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/check.png HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/shopping.png HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/history.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/place.png HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/email.png HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:17 +0900] "GET /metabucks/METAORDER/img/othersel.png HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:19 +0900] "GET /metabucks/METAORDER/order/index.jsp HTTP/1.1" 200 14663
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:20 +0900] "GET /metabucks/METAORDER/order/view.jsp?hname=%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:22 +0900] "GET /metabucks/METAORDER/order/orderok.jsp?hname=%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8 HTTP/1.1" 200 11001
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:24 +0900] "POST /metabucks/METAORDER/order/cart.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:26 +0900] "GET /metabucks/METAORDER/other/shopping.jsp HTTP/1.1" 200 37032
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:27 +0900] "GET /metabucks/METAORDER/order/payment.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:27 +0900] "GET /metabucks/METAORDER/order/index.jsp HTTP/1.1" 200 14663
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:30 +0900] "GET /metabucks/METAORDER/other/index.jsp HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:33 +0900] "GET /metabucks/METAORDER/other/idinfo.jsp HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:38 +0900] "GET /metabucks/HOME/login/login.jsp HTTP/1.1" 200 5259
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:38 +0900] "GET /metabucks/HOME/image/sv1.jpg HTTP/1.1" 200 161917
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:38 +0900] "GET /metabucks/HOME/image/path_arr.png HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:46 +0900] "POST /metabucks/HOME/login/loginok.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:47 +0900] "GET /metabucks/HOME/index.jsp HTTP/1.1" 200 8661
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:47 +0900] "GET /metabucks/HOME/image/sub/icon_plus.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:47 +0900] "GET /metabucks/HOME/image/sub/about_bg1.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:47 +0900] "GET /metabucks/HOME/image/board_img/sel_arr.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:49 +0900] "GET /metabucks/HOME/nav/members.jsp HTTP/1.1" 200 4279
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:49 +0900] "GET /metabucks/HOME/image/tit_K05.png HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:52 +0900] "GET /metabucks/HOME/mypage/userinfo.jsp HTTP/1.1" 200 5591
0:0:0:0:0:0:0:1 - - [23/May/2022:22:20:55 +0900] "GET /metabucks/HOME/mypage/infomody.jsp HTTP/1.1" 200 5830
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /metabucks/HOME/nav/about1.jsp HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /metabucks/HOME/image/tit_K01.png HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /image/sub/innov1.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /image/sub/innov2.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /image/sub/innov3.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /image/sub/innov5.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /image/sub/innov4.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /metabucks/HOME/nav/image/bs1.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /metabucks/HOME/image/sub/icon_plus.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:09 +0900] "GET /metabucks/HOME/image/sub/bs_over.png HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:10 +0900] "GET /metabucks/HOME/nav/menu.jsp HTTP/1.1" 200 13799
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:10 +0900] "GET /metabucks/HOME/image/tit_K02.png HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:10 +0900] "GET /metabucks/HOME/image/food/drink1.jpg HTTP/1.1" 200 14306
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:11 +0900] "GET /metabucks/HOME/nav/store.jsp HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:11 +0900] "GET /metabucks/HOME/image/search.png HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:11 +0900] "GET /metabucks/HOME/image/tit_K03.png HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:11 +0900] "GET /metabucks/HOME/image/board_img/sel_arr.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:13 +0900] "GET /metabucks/HOME/nav/members.jsp HTTP/1.1" 200 4279
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:15 +0900] "GET /metabucks/HOME/mypage/order.jsp HTTP/1.1" 200 5358
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:18 +0900] "GET /metabucks/HOME/mypage/mymenu.jsp HTTP/1.1" 500 2438
0:0:0:0:0:0:0:1 - - [23/May/2022:22:21:22 +0900] "POST /metabucks/PROTO/jsp/mid.jsp?selected=%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8 HTTP/1.1" 200 1126
